Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Chordata_Vertebrata_Mus_musculus
OG0000120	Morbakka_virulenta_scaffold241.g29.t1 scaffold241.g29.t1	Mus_musculus_sp_O35988_SDC4_MOUSE sp_O35988_SDC4_MOUSE Syndecan-4 OS=Mus musculus OX=10090 GN=Sdc4 PE=1 SV=1, Mus_musculus_sp_P43407_SDC2_MOUSE sp_P43407_SDC2_MOUSE Syndecan-2 OS=Mus musculus OX=10090 GN=Sdc2 PE=1 SV=1, Mus_musculus_sp_P18828_SDC1_MOUSE sp_P18828_SDC1_MOUSE Syndecan-1 OS=Mus musculus OX=10090 GN=Sdc1 PE=1 SV=1, Mus_musculus_sp_Q64519_SDC3_MOUSE sp_Q64519_SDC3_MOUSE Syndecan-3 OS=Mus musculus OX=10090 GN=Sdc3 PE=1 SV=2
OG0000122	Morbakka_virulenta_scaffold290.g29.t4 scaffold290.g29.t4	Mus_musculus_sp_P33434_MMP2_MOUSE sp_P33434_MMP2_MOUSE 72 kDa type IV collagenase OS=Mus musculus OX=10090 GN=Mmp2 PE=1 SV=1, Mus_musculus_sp_P41245_MMP9_MOUSE sp_P41245_MMP9_MOUSE Matrix metalloproteinase-9 OS=Mus musculus OX=10090 GN=Mmp9 PE=1 SV=2
OG0000123	Morbakka_virulenta_scaffold53.g55.t1 scaffold53.g55.t1	Mus_musculus_sp_Q08879_FBLN1_MOUSE sp_Q08879_FBLN1_MOUSE Fibulin-1 OS=Mus musculus OX=10090 GN=Fbln1 PE=1 SV=2, Mus_musculus_sp_Q08879_FBLN1_MOUSE sp_Q08879_FBLN1_MOUSE Fibulin-1 OS=Mus musculus OX=10090 GN=Fbln1 PE=1 SV=2, Mus_musculus_sp_P37889_FBLN2_MOUSE sp_P37889_FBLN2_MOUSE Fibulin-2 OS=Mus musculus OX=10090 GN=Fbln2 PE=1 SV=2
OG0000150	Morbakka_virulenta_scaffold239.g11.t1 scaffold239.g11.t1, Morbakka_virulenta_scaffold239.g11.t2 scaffold239.g11.t2	Mus_musculus_sp_Q8R4K8_PAPP1_MOUSE sp_Q8R4K8_PAPP1_MOUSE Pappalysin-1 OS=Mus musculus OX=10090 GN=Pappa PE=2 SV=2
OG0000156	Morbakka_virulenta_scaffold58.g7.t1 scaffold58.g7.t1	Mus_musculus_sp_C0HKD9_MFA1B_MOUSE sp_C0HKD9_MFA1B_MOUSE Microfibrillar-associated protein 1B OS=Mus musculus OX=10090 GN=Mfap1b PE=1 SV=1
OG0000157	Morbakka_virulenta_scaffold10.g13.t1 scaffold10.g13.t1	Mus_musculus_sp_Q80T14_FRAS1_MOUSE sp_Q80T14_FRAS1_MOUSE Extracellular matrix organizing protein FRAS1 OS=Mus musculus OX=10090 GN=Fras1 PE=1 SV=2, Mus_musculus_sp_Q684R7_FREM1_MOUSE sp_Q684R7_FREM1_MOUSE FRAS1-related extracellular matrix protein 1 OS=Mus musculus OX=10090 GN=Frem1 PE=1 SV=1, Mus_musculus_sp_Q684R7_FREM1_MOUSE sp_Q684R7_FREM1_MOUSE FRAS1-related extracellular matrix protein 1 OS=Mus musculus OX=10090 GN=Frem1 PE=1 SV=1
OG0000171	Morbakka_virulenta_scaffold543.g1.t1 scaffold543.g1.t1, Morbakka_virulenta_scaffold543.g1.t2 scaffold543.g1.t2	Mus_musculus_sp_Q9JI78_NGLY1_MOUSE sp_Q9JI78_NGLY1_MOUSE Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase OS=Mus musculus OX=10090 GN=Ngly1 PE=1 SV=2
OG0000182	Morbakka_virulenta_scaffold230.g9.t1 scaffold230.g9.t1	Mus_musculus_sp_Q3UVV9_VWA3A_MOUSE sp_Q3UVV9_VWA3A_MOUSE von Willebrand factor A domain-containing protein 3A OS=Mus musculus OX=10090 GN=Vwa3a PE=2 SV=1
OG0000216	Morbakka_virulenta_scaffold293.g8.t1 scaffold293.g8.t1	Mus_musculus_sp_Q8BZQ2_CRLD2_MOUSE sp_Q8BZQ2_CRLD2_MOUSE Cysteine-rich secretory protein LCCL domain-containing 2 OS=Mus musculus OX=10090 GN=Crispld2 PE=1 SV=1, Mus_musculus_sp_Q8CGD2_CRLD1_MOUSE sp_Q8CGD2_CRLD1_MOUSE Cysteine-rich secretory protein LCCL domain-containing 1 OS=Mus musculus OX=10090 GN=Crispld1 PE=2 SV=1
OG0000235	Morbakka_virulenta_scaffold51.g44.t1 scaffold51.g44.t1	Mus_musculus_sp_Q91VF6_COQA1_MOUSE sp_Q91VF6_COQA1_MOUSE Collagen alpha-1_XXVI_ chain OS=Mus musculus OX=10090 GN=Col26a1 PE=1 SV=1, Mus_musculus_sp_Q91VF5_EMID1_MOUSE sp_Q91VF5_EMID1_MOUSE EMI domain-containing protein 1 OS=Mus musculus OX=10090 GN=Emid1 PE=2 SV=1, Mus_musculus_sp_Q91VF5_EMID1_MOUSE sp_Q91VF5_EMID1_MOUSE EMI domain-containing protein 1 OS=Mus musculus OX=10090 GN=Emid1 PE=2 SV=1
OG0000236	Morbakka_virulenta_scaffold308.g29.t1 scaffold308.g29.t1	Mus_musculus_sp_P31240_PDGFB_MOUSE sp_P31240_PDGFB_MOUSE Platelet-derived growth factor subunit B OS=Mus musculus OX=10090 GN=Pdgfb PE=2 SV=1
OG0000268	Morbakka_virulenta_scaffold84.g62.t1 scaffold84.g62.t1	Mus_musculus_sp_Q9Z2L7_CRLF3_MOUSE sp_Q9Z2L7_CRLF3_MOUSE Cytokine receptor-like factor 3 OS=Mus musculus OX=10090 GN=Crlf3 PE=1 SV=1
OG0000344	Morbakka_virulenta_scaffold230.g30.t1 scaffold230.g30.t1	Mus_musculus_sp_Q62356_FSTL1_MOUSE sp_Q62356_FSTL1_MOUSE Follistatin-related protein 1 OS=Mus musculus OX=10090 GN=Fstl1 PE=1 SV=2
