Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000020	Exaiptasia_diaphana_XP_020915823.1 XP_020915823.1 collagen alpha-1_I_ chain isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519061.1 XP_028519061.1 collagen alpha-1_I_ chain isoform X2 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00006265-protein TCONS_00006265-protein
OG0000021	Exaiptasia_diaphana_XP_020901946.1 XP_020901946.1 hemicentin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901927.1 XP_020901927.1 low-density lipoprotein receptor-related protein 2-like isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901926.1 XP_020901926.1 low-density lipoprotein receptor-related protein 2-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515277.1 XP_028515277.1 low-density lipoprotein receptor-related protein 2-like isoform X1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00006428-protein TCONS_00006428-protein
OG0000021	Exaiptasia_diaphana_XP_020901735.1 XP_020901735.1 low-density lipoprotein receptor [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00024883-protein TCONS_00024883-protein
OG0000021	Exaiptasia_diaphana_XP_020911424.1 XP_020911424.1 low-density lipoprotein receptor-related protein 4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911423.1 XP_020911423.1 very low-density lipoprotein receptor isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518014.1 XP_028518014.1 low-density lipoprotein receptor-related protein 4 isoform X3 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00061561-protein TCONS_00061561-protein
OG0000021	Exaiptasia_diaphana_XP_028516843.1 XP_028516843.1 low-density lipoprotein receptor-related protein 2 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00059183-protein TCONS_00059183-protein
OG0000022	Exaiptasia_diaphana_XP_020904987.1 XP_020904987.1 annexin A5 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00055551-protein TCONS_00055551-protein
OG0000023	Exaiptasia_diaphana_XP_028514247.1 XP_028514247.1 zinc metalloproteinase-disintegrin-like BjussuMP-1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00023962-protein TCONS_00023962-protein, Clytia_hemispherica_TCONS_00030285-protein TCONS_00030285-protein
OG0000024	Exaiptasia_diaphana_XP_028519592.1 XP_028519592.1 zonadhesin-like_ partial [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00000826-protein TCONS_00000826-protein
OG0000024	Exaiptasia_diaphana_XP_020903926.1 XP_020903926.1 equistatin [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00051917-protein TCONS_00051917-protein
OG0000024	Exaiptasia_diaphana_XP_020909087.1 XP_020909087.1 SPARC-related modular calcium-binding protein 2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901650.1 XP_020901650.1 mucin-2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897812.1 XP_020897812.1 nidogen-2-like_ partial [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00016849-protein TCONS_00016849-protein
OG0000024	Exaiptasia_diaphana_XP_020905524.1 XP_020905524.1 thyroglobulin [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00005637-protein TCONS_00005637-protein
OG0000024	Exaiptasia_diaphana_XP_020905521.1 XP_020905521.1 testican-2 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00018835-protein TCONS_00018835-protein
OG0000027	Exaiptasia_diaphana_XP_020899179.1 XP_020899179.1 uncharacterized protein LOC110237898 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00004998-protein TCONS_00004998-protein
OG0000027	Exaiptasia_diaphana_XP_020912536.2 XP_020912536.2 uncharacterized protein LOC110250238 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892620.1 XP_020892620.1 uncharacterized protein LOC110231893 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912155.2 XP_020912155.2 polycystic kidney disease protein 1-like 2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020891913.1 XP_020891913.1 polycystic kidney disease protein 1-like 2 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00008404-protein TCONS_00008404-protein
OG0000028	Exaiptasia_diaphana_XP_028518629.1 XP_028518629.1 collagen alpha-5_IV_ chain [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00014070-protein TCONS_00014070-protein
OG0000029	Exaiptasia_diaphana_XP_020911021.1 XP_020911021.1 contactin-associated protein-like 5 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00007483-protein TCONS_00007483-protein
OG0000029	Exaiptasia_diaphana_XP_020911022.1 XP_020911022.1 contactin-associated protein-like 5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519738.1 XP_028519738.1 contactin-associated protein-like 5 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00066649-protein TCONS_00066649-protein
OG0000029	Exaiptasia_diaphana_XP_028513207.1 XP_028513207.1 contactin-associated protein-like 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894377.1 XP_020894377.1 contactin-associated protein-like 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894378.1 XP_020894378.1 contactin-associated protein-like 4 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00003166-protein TCONS_00003166-protein
OG0000029	Exaiptasia_diaphana_XP_020893090.1 XP_020893090.1 EGF and laminin G domain-containing protein [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00010654-protein TCONS_00010654-protein, Clytia_hemispherica_TCONS_00010652-protein TCONS_00010652-protein
OG0000030	Exaiptasia_diaphana_XP_028518433.1 XP_028518433.1 disintegrin and metalloproteinase domain-containing protein 17 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00007497-protein TCONS_00007497-protein, Clytia_hemispherica_TCONS_00007500-protein TCONS_00007500-protein
OG0000030	Exaiptasia_diaphana_XP_020898884.1 XP_020898884.1 disintegrin and metalloproteinase domain-containing protein 10 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00004356-protein TCONS_00004356-protein
OG0000030	Exaiptasia_diaphana_XP_028517814.1 XP_028517814.1 disintegrin and metalloproteinase domain-containing protein 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910720.1 XP_020910720.1 disintegrin and metalloproteinase domain-containing protein 10 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00028602-protein TCONS_00028602-protein
OG0000032	Exaiptasia_diaphana_XP_020912366.1 XP_020912366.1 collagen alpha-1_I_ chain [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00034838-protein TCONS_00034838-protein, Clytia_hemispherica_TCONS_00051558-protein TCONS_00051558-protein
OG0000033	Exaiptasia_diaphana_XP_020901066.1 XP_020901066.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905080.1 XP_020905080.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909418.1 XP_020909418.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514279.1 XP_028514279.1 collagen triple helix repeat-containing protein 1-like isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514280.1 XP_028514280.1 collagen triple helix repeat-containing protein 1-like isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514278.1 XP_028514278.1 collagen triple helix repeat-containing protein 1-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514281.1 XP_028514281.1 collagen triple helix repeat-containing protein 1-like isoform X5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514283.1 XP_028514283.1 collagen triple helix repeat-containing protein 1-like isoform X7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514284.1 XP_028514284.1 collagen triple helix repeat-containing protein 1-like isoform X8 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514282.1 XP_028514282.1 collagen triple helix repeat-containing protein 1-like isoform X6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514277.1 XP_028514277.1 collagen triple helix repeat-containing protein 1-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514285.1 XP_028514285.1 collagen triple helix repeat-containing protein 1-like isoform X9 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917219.1 XP_020917219.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519657.1 XP_028519657.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916850.1 XP_020916850.1 collagen triple helix repeat-containing protein 1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514288.1 XP_028514288.1 collagen triple helix repeat-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916851.1 XP_020916851.1 collagen triple helix repeat-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917218.1 XP_020917218.1 collagen triple helix repeat-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514276.1 XP_028514276.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898274.1 XP_020898274.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898280.2 XP_020898280.2 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518851.1 XP_028518851.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518852.1 XP_028518852.1 collagen triple helix repeat-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894419.1 XP_020894419.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894421.1 XP_020894421.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894420.1 XP_020894420.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00050100-protein TCONS_00050100-protein, Clytia_hemispherica_TCONS_00060254-protein TCONS_00060254-protein, Clytia_hemispherica_TCONS_00060270-protein TCONS_00060270-protein, Clytia_hemispherica_TCONS_00063125-protein TCONS_00063125-protein, Clytia_hemispherica_TCONS_00053701-protein TCONS_00053701-protein, Clytia_hemispherica_TCONS_00039900-protein TCONS_00039900-protein, Clytia_hemispherica_TCONS_00023261-protein TCONS_00023261-protein, Clytia_hemispherica_TCONS_00023250-protein TCONS_00023250-protein, Clytia_hemispherica_TCONS_00025608-protein TCONS_00025608-protein
OG0000034	Exaiptasia_diaphana_XP_020912671.1 XP_020912671.1 attractin-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915954.1 XP_020915954.1 attractin-like protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916106.1 XP_020916106.1 attractin-like protein 1 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916031.1 XP_020916031.1 attractin-like protein 1 isoform X2 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00051590-protein TCONS_00051590-protein
OG0000034	Exaiptasia_diaphana_XP_020912006.2 XP_020912006.2 epidermal growth factor-like protein 8 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519409.1 XP_028519409.1 multiple epidermal growth factor-like domains protein 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916503.1 XP_020916503.1 multiple epidermal growth factor-like domains protein 11 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00055927-protein TCONS_00055927-protein
OG0000034	Exaiptasia_diaphana_XP_028517202.1 XP_028517202.1 multiple epidermal growth factor-like domains protein 8 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00048912-protein TCONS_00048912-protein, Clytia_hemispherica_TCONS_00057683-protein TCONS_00057683-protein
OG0000035	Exaiptasia_diaphana_XP_028515554.1 XP_028515554.1 uncharacterized protein LOC110241304 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00058995-protein TCONS_00058995-protein
OG0000035	Exaiptasia_diaphana_XP_028513017.1 XP_028513017.1 uncharacterized protein LOC110232795 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905386.2 XP_020905386.2 LOW QUALITY PROTEIN_ EGF-like repeat and discoidin I-like domain-containing protein 3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905389.2 XP_020905389.2 EGF-like repeat and discoidin I-like domain-containing protein 3 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00040600-protein TCONS_00040600-protein
OG0000036	Exaiptasia_diaphana_XP_020892218.1 XP_020892218.1 multiple epidermal growth factor-like domains protein 6 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00001698-protein TCONS_00001698-protein
OG0000036	Exaiptasia_diaphana_XP_028517635.1 XP_028517635.1 uncharacterized protein LOC110248802 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517640.1 XP_028517640.1 uncharacterized protein LOC110248802 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892203.2 XP_020892203.2 uncharacterized protein LOC110231525 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00048163-protein TCONS_00048163-protein
OG0000039	Exaiptasia_diaphana_XP_020916877.1 XP_020916877.1 uncharacterized protein LOC110254246 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517831.1 XP_028517831.1 uncharacterized protein LOC114576037 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916874.1 XP_020916874.1 LOW QUALITY PROTEIN_ uncharacterized protein LOC110254244 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898243.1 XP_020898243.1 uncharacterized protein LOC110237013 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00014774-protein TCONS_00014774-protein
OG0000040	Exaiptasia_diaphana_XP_028515661.1 XP_028515661.1 four-domain proteases inhibitor [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00002499-protein TCONS_00002499-protein
OG0000040	Exaiptasia_diaphana_XP_020903908.1 XP_020903908.1 uncharacterized protein LOC110242294 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903909.1 XP_020903909.1 uncharacterized protein LOC110242294 isoform X2 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00015477-protein TCONS_00015477-protein
OG0000041	Exaiptasia_diaphana_XP_020912183.1 XP_020912183.1 protein mono-ADP-ribosyltransferase PARP4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912184.1 XP_020912184.1 protein mono-ADP-ribosyltransferase PARP4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912185.1 XP_020912185.1 protein mono-ADP-ribosyltransferase PARP4 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518262.1 XP_028518262.1 protein mono-ADP-ribosyltransferase PARP4 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912186.1 XP_020912186.1 protein mono-ADP-ribosyltransferase PARP4 isoform X5 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00059541-protein TCONS_00059541-protein
OG0000042	Exaiptasia_diaphana_XP_020913153.1 XP_020913153.1 neurexin-4 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00005412-protein TCONS_00005412-protein, Clytia_hemispherica_TCONS_00059228-protein TCONS_00059228-protein, Clytia_hemispherica_TCONS_00007470-protein TCONS_00007470-protein
OG0000042	Exaiptasia_diaphana_XP_028515387.1 XP_028515387.1 uncharacterized protein LOC110240742 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902191.1 XP_020902191.1 neurexin-3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902193.1 XP_020902193.1 neurexin-1b [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902210.1 XP_020902210.1 neurexin-3 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00066637-protein TCONS_00066637-protein, Clytia_hemispherica_TCONS_00072911-protein TCONS_00072911-protein
OG0000044	Exaiptasia_diaphana_XP_028519449.1 XP_028519449.1 protein-glutamine gamma-glutamyltransferase K [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916544.1 XP_020916544.1 protein-glutamine gamma-glutamyltransferase K [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916593.1 XP_020916593.1 protein-glutamine gamma-glutamyltransferase K [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00053572-protein TCONS_00053572-protein, Clytia_hemispherica_TCONS_00062853-protein TCONS_00062853-protein, Clytia_hemispherica_TCONS_00033083-protein TCONS_00033083-protein
OG0000045	Exaiptasia_diaphana_XP_028519634.1 XP_028519634.1 laminin subunit alpha-like [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00002813-protein TCONS_00002813-protein
OG0000046	Exaiptasia_diaphana_XP_028513534.1 XP_028513534.1 uncharacterized protein LOC114574618 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912883.2 XP_020912883.2 uncharacterized protein LOC110250622 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514241.1 XP_028514241.1 uncharacterized protein LOC114574832 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514881.1 XP_028514881.1 uncharacterized protein LOC110239230 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900927.1 XP_020900927.1 uncharacterized protein LOC110239544 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514883.1 XP_028514883.1 uncharacterized protein LOC110239242 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899795.1 XP_020899795.1 uncharacterized protein LOC110238459 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514655.1 XP_028514655.1 uncharacterized protein LOC110238459 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900564.2 XP_020900564.2 uncharacterized protein LOC110239189 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897986.1 XP_020897986.1 uncharacterized protein LOC110236777 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892458.1 XP_020892458.1 uncharacterized protein LOC110231748 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892466.1 XP_020892466.1 uncharacterized protein LOC110231748 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912718.1 XP_020912718.1 uncharacterized protein LOC110250460 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518395.1 XP_028518395.1 uncharacterized protein LOC114576277 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518385.1 XP_028518385.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513993.1 XP_028513993.1 uncharacterized protein LOC110236104 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513613.1 XP_028513613.1 uncharacterized protein LOC114574644 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515836.1 XP_028515836.1 location of vulva defective 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515824.1 XP_028515824.1 uncharacterized protein LOC114575341 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904355.1 XP_020904355.1 uncharacterized protein LOC110242680 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908577.2 XP_020908577.2 uncharacterized protein LOC110246565 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907077.1 XP_020907077.1 uncharacterized protein LOC110245158 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907058.1 XP_020907058.1 uncharacterized protein LOC110245145 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516701.1 XP_028516701.1 uncharacterized protein LOC114575626 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908602.2 XP_020908602.2 uncharacterized protein LOC110246589 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908595.1 XP_020908595.1 uncharacterized protein LOC110246580 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912293.1 XP_020912293.1 uncharacterized protein LOC110250038 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907076.1 XP_020907076.1 uncharacterized protein LOC110245157 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907074.1 XP_020907074.1 uncharacterized protein LOC110245157 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907075.1 XP_020907075.1 uncharacterized protein LOC110245157 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898000.1 XP_020898000.1 uncharacterized protein LOC110236758 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912425.2 XP_020912425.2 uncharacterized protein LOC110250162 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518016.1 XP_028518016.1 uncharacterized protein LOC110249224 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00050883-protein TCONS_00050883-protein, Clytia_hemispherica_TCONS_00065761-protein TCONS_00065761-protein, Clytia_hemispherica_TCONS_00072914-protein TCONS_00072914-protein, Clytia_hemispherica_TCONS_00003192-protein TCONS_00003192-protein, Clytia_hemispherica_TCONS_00000570-protein TCONS_00000570-protein, Clytia_hemispherica_TCONS_00043112-protein TCONS_00043112-protein, Clytia_hemispherica_TCONS_00043709-protein TCONS_00043709-protein
OG0000049	Exaiptasia_diaphana_XP_028518799.1 XP_028518799.1 plexin-A1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00064915-protein TCONS_00064915-protein
OG0000051	Exaiptasia_diaphana_XP_020899021.2 XP_020899021.2 LOW QUALITY PROTEIN_ VWFA and cache domain-containing protein 1-like [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00024466-protein TCONS_00024466-protein, Clytia_hemispherica_TCONS_00037794-protein TCONS_00037794-protein
OG0000053	Exaiptasia_diaphana_XP_020910451.1 XP_020910451.1 malignant fibrous histiocytoma-amplified sequence 1 homolog isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910452.1 XP_020910452.1 malignant fibrous histiocytoma-amplified sequence 1 homolog isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896793.2 XP_020896793.2 malignant fibrous histiocytoma-amplified sequence 1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00069010-protein TCONS_00069010-protein
OG0000054	Exaiptasia_diaphana_XP_020910667.1 XP_020910667.1 erbin [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00029751-protein TCONS_00029751-protein
OG0000054	Exaiptasia_diaphana_XP_028513465.1 XP_028513465.1 protein scribble homolog [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00036167-protein TCONS_00036167-protein
OG0000056	Exaiptasia_diaphana_XP_020900170.1 XP_020900170.1 tripartite motif-containing protein 67 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00054179-protein TCONS_00054179-protein
OG0000061	Exaiptasia_diaphana_XP_020893258.1 XP_020893258.1 copine-3 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893259.1 XP_020893259.1 copine-3 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906480.1 XP_020906480.1 copine-3 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906472.1 XP_020906472.1 copine-3 isoform X1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00050243-protein TCONS_00050243-protein
OG0000061	Exaiptasia_diaphana_XP_020897999.1 XP_020897999.1 copine-5 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00002099-protein TCONS_00002099-protein, Clytia_hemispherica_TCONS_00005277-protein TCONS_00005277-protein, Clytia_hemispherica_TCONS_00040450-protein TCONS_00040450-protein, Clytia_hemispherica_TCONS_00005276-protein TCONS_00005276-protein
OG0000062	Exaiptasia_diaphana_XP_028518542.1 XP_028518542.1 fibropellin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518545.1 XP_028518545.1 fibropellin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518546.1 XP_028518546.1 fibropellin-1 isoform X3 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00052771-protein TCONS_00052771-protein, Clytia_hemispherica_TCONS_00023638-protein TCONS_00023638-protein
OG0000063	Exaiptasia_diaphana_XP_020907250.1 XP_020907250.1 tiggy-winkle hedgehog protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907251.1 XP_020907251.1 tiggy-winkle hedgehog protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907252.1 XP_020907252.1 tiggy-winkle hedgehog protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907253.1 XP_020907253.1 tiggy-winkle hedgehog protein isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892909.1 XP_020892909.1 tiggy-winkle hedgehog protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906055.1 XP_020906055.1 uncharacterized protein LOC110244198 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906054.1 XP_020906054.1 uncharacterized protein LOC110244198 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516378.1 XP_028516378.1 uncharacterized protein LOC110244191 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914354.1 XP_020914354.1 indian hedgehog protein [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00002634-protein TCONS_00002634-protein, Clytia_hemispherica_TCONS_00002631-protein TCONS_00002631-protein
OG0000067	Exaiptasia_diaphana_XP_028517411.1 XP_028517411.1 uncharacterized protein LOC110247375 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514929.1 XP_028514929.1 uncharacterized protein LOC110239357 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00015037-protein TCONS_00015037-protein, Clytia_hemispherica_TCONS_00030414-protein TCONS_00030414-protein, Clytia_hemispherica_TCONS_00016035-protein TCONS_00016035-protein, Clytia_hemispherica_TCONS_00016037-protein TCONS_00016037-protein
OG0000070	Exaiptasia_diaphana_XP_020893766.1 XP_020893766.1 peroxidasin [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00021784-protein TCONS_00021784-protein
OG0000075	Exaiptasia_diaphana_XP_020902029.1 XP_020902029.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913946.1 XP_020913946.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905763.1 XP_020905763.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899678.1 XP_020899678.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00018308-protein TCONS_00018308-protein, Clytia_hemispherica_TCONS_00054794-protein TCONS_00054794-protein
OG0000075	Exaiptasia_diaphana_XP_028514423.1 XP_028514423.1 uncharacterized protein LOC110237387 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00047980-protein TCONS_00047980-protein
