Orthogroup	Insecta_Diptera_Drosophila_melanogaster	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000065	Drosophila_melanogaster_tr_Q53XG2_Q53XG2_DROME tr|Q53XG2|Q53XG2_DROME Division abnormally delayed_ isoform B OS=Drosophila melanogaster OX=7227 GN=dally PE=1 SV=1, Drosophila_melanogaster_sp_Q24114_DALY_DROME sp|Q24114|DALY_DROME Division abnormally delayed protein OS=Drosophila melanogaster OX=7227 GN=dally PE=1 SV=1, Drosophila_melanogaster_tr_Q966V5_Q966V5_DROME tr|Q966V5|Q966V5_DROME Dally OS=Drosophila melanogaster OX=7227 GN=dally PE=3 SV=1	Nematostella_vectensis_NV2t022015001.1 NV2t022015001.1, Nematostella_vectensis_NV2t022018001.1 NV2t022018001.1
OG0000080	Drosophila_melanogaster_sp_Q9VH14_TIMP_DROME sp|Q9VH14|TIMP_DROME Tissue inhibitor of metalloproteinase OS=Drosophila melanogaster OX=7227 GN=Timp PE=1 SV=1	Nematostella_vectensis_NV2t017964001.1 NV2t017964001.1, Nematostella_vectensis_NV2t003669001.1 NV2t003669001.1, Nematostella_vectensis_NV2t003671001.1 NV2t003671001.1, Nematostella_vectensis_NV2t002779001.1 NV2t002779001.1
OG0000084	Drosophila_melanogaster_tr_Q86BH1_Q86BH1_DROME tr|Q86BH1|Q86BH1_DROME Multiplexin_ isoform E OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_E1JI50_E1JI50_DROME tr|E1JI50|E1JI50_DROME Multiplexin_ isoform F OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_Q8MT89_Q8MT89_DROME tr|Q8MT89|Q8MT89_DROME GH14382p OS=Drosophila melanogaster OX=7227 GN=Mp PE=2 SV=1, Drosophila_melanogaster_tr_X2JGC3_X2JGC3_DROME tr|X2JGC3|X2JGC3_DROME Multiplexin_ isoform S OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_E1JI49_E1JI49_DROME tr|E1JI49|E1JI49_DROME Multiplexin_ isoform H OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_X2JC42_X2JC42_DROME tr|X2JC42|X2JC42_DROME Multiplexin_ isoform T OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_E1JIE0_E1JIE0_DROME tr|E1JIE0|E1JIE0_DROME Multiplexin_ isoform M OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_M9ND55_M9ND55_DROME tr|M9ND55|M9ND55_DROME Multiplexin_ isoform R OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_E1JIE3_E1JIE3_DROME tr|E1JIE3|E1JIE3_DROME Multiplexin_ isoform O OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=2, Drosophila_melanogaster_tr_E1JID9_E1JID9_DROME tr|E1JID9|E1JID9_DROME Multiplexin_ isoform G OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_E1JIE1_E1JIE1_DROME tr|E1JIE1|E1JIE1_DROME Multiplexin_ isoform B OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_E1JIE2_E1JIE2_DROME tr|E1JIE2|E1JIE2_DROME Multiplexin_ isoform L OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_X2JCL0_X2JCL0_DROME tr|X2JCL0|X2JCL0_DROME Multiplexin_ isoform U OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1, Drosophila_melanogaster_tr_E1JI52_E1JI52_DROME tr|E1JI52|E1JI52_DROME Multiplexin_ isoform J OS=Drosophila melanogaster OX=7227 GN=Mp PE=4 SV=1	Nematostella_vectensis_NV2t011420001.1 NV2t011420001.1
OG0000088	Drosophila_melanogaster_tr_O02029_O02029_DROME tr|O02029|O02029_DROME M-spondin OS=Drosophila melanogaster OX=7227 GN=mspo PE=2 SV=1, Drosophila_melanogaster_tr_Q7JY80_Q7JY80_DROME tr|Q7JY80|Q7JY80_DROME M-spondin_ isoform A OS=Drosophila melanogaster OX=7227 GN=mspo PE=2 SV=1, Drosophila_melanogaster_tr_Q8T988_Q8T988_DROME tr|Q8T988|Q8T988_DROME SD07907p OS=Drosophila melanogaster OX=7227 GN=CG17740 PE=2 SV=1, Drosophila_melanogaster_tr_A1Z8W6_A1Z8W6_DROME tr|A1Z8W6|A1Z8W6_DROME Spondin-1 OS=Drosophila melanogaster OX=7227 GN=CG17740 PE=2 SV=1, Drosophila_melanogaster_tr_Q3ZAL6_Q3ZAL6_DROME tr|Q3ZAL6|Q3ZAL6_DROME Spondin-1 OS=Drosophila melanogaster OX=7227 GN=CG17740 PE=2 SV=1, Drosophila_melanogaster_tr_Q7K3Y9_Q7K3Y9_DROME tr|Q7K3Y9|Q7K3Y9_DROME Spondin-1 OS=Drosophila melanogaster OX=7227 GN=Dmel\CG17739 PE=2 SV=1, Drosophila_melanogaster_tr_Q95S22_Q95S22_DROME tr|Q95S22|Q95S22_DROME HL01082p OS=Drosophila melanogaster OX=7227 GN=fat-spondin PE=2 SV=1, Drosophila_melanogaster_tr_Q7KN04_Q7KN04_DROME tr|Q7KN04|Q7KN04_DROME Spondin-1 OS=Drosophila melanogaster OX=7227 GN=fat-spondin PE=1 SV=1	Nematostella_vectensis_NV2t009987001.1 NV2t009987001.1
OG0000089	Drosophila_melanogaster_sp_Q24025_SOG_DROME sp|Q24025|SOG_DROME Dorsal-ventral patterning protein Sog OS=Drosophila melanogaster OX=7227 GN=sog PE=1 SV=1, Drosophila_melanogaster_tr_M9PH73_M9PH73_DROME tr|M9PH73|M9PH73_DROME Dorsal-ventral patterning protein Sog OS=Drosophila melanogaster OX=7227 GN=sog PE=3 SV=1	Nematostella_vectensis_NV2t014185001.1 NV2t014185001.1
OG0000095	Drosophila_melanogaster_tr_A4UZB1_A4UZB1_DROME tr|A4UZB1|A4UZB1_DROME Magu_ isoform F OS=Drosophila melanogaster OX=7227 GN=magu PE=4 SV=1, Drosophila_melanogaster_tr_Q95TQ2_Q95TQ2_DROME tr|Q95TQ2|Q95TQ2_DROME LD30894p OS=Drosophila melanogaster OX=7227 GN=magu PE=2 SV=1, Drosophila_melanogaster_tr_Q0E9E0_Q0E9E0_DROME tr|Q0E9E0|Q0E9E0_DROME FI05255p OS=Drosophila melanogaster OX=7227 GN=magu PE=2 SV=1, Drosophila_melanogaster_tr_Q86MK1_Q86MK1_DROME tr|Q86MK1|Q86MK1_DROME CG2264A OS=Drosophila melanogaster OX=7227 GN=magu PE=2 SV=1	Nematostella_vectensis_NV2t011433006.1 NV2t011433006.1, Nematostella_vectensis_NV2t011433002.1 NV2t011433002.1, Nematostella_vectensis_NV2t011433001.1 NV2t011433001.1, Nematostella_vectensis_NV2t011433005.1 NV2t011433005.1, Nematostella_vectensis_NV2t011433003.1 NV2t011433003.1, Nematostella_vectensis_NV2t011433004.1 NV2t011433004.1
OG0000120	Drosophila_melanogaster_tr_B7YZN0_B7YZN0_DROME tr|B7YZN0|B7YZN0_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=1 SV=2, Drosophila_melanogaster_tr_E1JGQ9_E1JGQ9_DROME tr|E1JGQ9|E1JGQ9_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=1 SV=2, Drosophila_melanogaster_sp_P49415_SDC_DROME sp|P49415|SDC_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=2 SV=2, Drosophila_melanogaster_tr_B7YZM9_B7YZM9_DROME tr|B7YZM9|B7YZM9_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=1 SV=1, Drosophila_melanogaster_tr_A0A0B4LG79_A0A0B4LG79_DROME tr|A0A0B4LG79|A0A0B4LG79_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=1 SV=1, Drosophila_melanogaster_tr_A0A0B4K862_A0A0B4K862_DROME tr|A0A0B4K862|A0A0B4K862_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=3 SV=1	Nematostella_vectensis_NV2t006659001.1 NV2t006659001.1
OG0000133	Drosophila_melanogaster_sp_Q9VPF0_ATK_DROME sp|Q9VPF0|ATK_DROME Protein artichoke OS=Drosophila melanogaster OX=7227 GN=atk PE=1 SV=2	Nematostella_vectensis_NV2t005944001.1 NV2t005944001.1
OG0000178	Drosophila_melanogaster_sp_Q0E908_HIL_DROME sp|Q0E908|HIL_DROME Hillarin OS=Drosophila melanogaster OX=7227 GN=Hil PE=1 SV=1	Nematostella_vectensis_NV2t006547001.1 NV2t006547001.1, Nematostella_vectensis_NV2t007463001.1 NV2t007463001.1
OG0000219	Drosophila_melanogaster_tr_Q9W347_Q9W347_DROME tr|Q9W347|Q9W347_DROME C12.2_ isoform A OS=Drosophila melanogaster OX=7227 GN=c12.2 PE=1 SV=3, Drosophila_melanogaster_tr_M9PHH0_M9PHH0_DROME tr|M9PHH0|M9PHH0_DROME C12.2_ isoform B OS=Drosophila melanogaster OX=7227 GN=c12.2 PE=1 SV=1	Nematostella_vectensis_NV2t022330001.1 NV2t022330001.1
OG0000248	Drosophila_melanogaster_tr_Q9VCC7_Q9VCC7_DROME tr|Q9VCC7|Q9VCC7_DROME FI03681p OS=Drosophila melanogaster OX=7227 GN=Kal1 PE=2 SV=2, Drosophila_melanogaster_tr_Q95SS0_Q95SS0_DROME tr|Q95SS0|Q95SS0_DROME GH04611p OS=Drosophila melanogaster OX=7227 GN=Kal1 PE=2 SV=1	Nematostella_vectensis_NV2t006365001.1 NV2t006365001.1
OG0000479	Drosophila_melanogaster_tr_Q9VKQ0_Q9VKQ0_DROME tr|Q9VKQ0|Q9VKQ0_DROME Uncharacterized protein_ isoform A OS=Drosophila melanogaster OX=7227 GN=CG18499 PE=4 SV=2	Nematostella_vectensis_NV2t012328001.1 NV2t012328001.1, Nematostella_vectensis_NV2t012484002.1 NV2t012484002.1
