Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000200	Stylophora_pistillata_Spis3925 Spis3925 SpisGene3925	Clytia_hemispherica_TCONS_00023146-protein TCONS_00023146-protein
OG0000201	Stylophora_pistillata_Spis17755 Spis17755 SpisGene17755	Clytia_hemispherica_TCONS_00051608-protein TCONS_00051608-protein
OG0000203	Stylophora_pistillata_Spis10328 Spis10328 SpisGene10328	Clytia_hemispherica_TCONS_00002252-protein TCONS_00002252-protein
OG0000204	Stylophora_pistillata_Spis8062 Spis8062 SpisGene8062	Clytia_hemispherica_TCONS_00063679-protein TCONS_00063679-protein
OG0000209	Stylophora_pistillata_Spis1455 Spis1455 SpisGene1455	Clytia_hemispherica_TCONS_00065263-protein TCONS_00065263-protein
OG0000210	Stylophora_pistillata_Spis6298 Spis6298 SpisGene6298	Clytia_hemispherica_TCONS_00052810-protein TCONS_00052810-protein
OG0000211	Stylophora_pistillata_Spis17130 Spis17130 SpisGene17130	Clytia_hemispherica_TCONS_00064022-protein TCONS_00064022-protein
OG0000213	Stylophora_pistillata_Spis12105 Spis12105 SpisGene12105, Stylophora_pistillata_Spis10966 Spis10966 SpisGene10966	Clytia_hemispherica_TCONS_00007329-protein TCONS_00007329-protein
OG0000230	Stylophora_pistillata_Spis9710 Spis9710 SpisGene9710	Clytia_hemispherica_TCONS_00034683-protein TCONS_00034683-protein
OG0000231	Stylophora_pistillata_Spis1286 Spis1286 SpisGene1286	Clytia_hemispherica_TCONS_00061987-protein TCONS_00061987-protein
OG0000237	Stylophora_pistillata_Spis9508 Spis9508 SpisGene9508	Clytia_hemispherica_TCONS_00028314-protein TCONS_00028314-protein
OG0000240	Stylophora_pistillata_Spis16197 Spis16197 SpisGene16197, Stylophora_pistillata_Spis18709 Spis18709 SpisGene18709	Clytia_hemispherica_TCONS_00008587-protein TCONS_00008587-protein
OG0000242	Stylophora_pistillata_Spis3145 Spis3145 SpisGene3145	Clytia_hemispherica_TCONS_00026328-protein TCONS_00026328-protein, Clytia_hemispherica_TCONS_00014381-protein TCONS_00014381-protein, Clytia_hemispherica_TCONS_00045470-protein TCONS_00045470-protein
OG0000245	Stylophora_pistillata_Spis21816 Spis21816 SpisGene21816, Stylophora_pistillata_Spis21814 Spis21814 SpisGene21814	Clytia_hemispherica_TCONS_00062360-protein TCONS_00062360-protein
OG0000248	Stylophora_pistillata_Spis8206 Spis8206 SpisGene8206	Clytia_hemispherica_TCONS_00073674-protein TCONS_00073674-protein
OG0000253	Stylophora_pistillata_Spis8764 Spis8764 SpisGene8764	Clytia_hemispherica_TCONS_00003407-protein TCONS_00003407-protein
OG0000267	Stylophora_pistillata_Spis12795 Spis12795 SpisGene12795	Clytia_hemispherica_TCONS_00024032-protein TCONS_00024032-protein
OG0000272	Stylophora_pistillata_Spis904 Spis904 SpisGene904	Clytia_hemispherica_TCONS_00030863-protein TCONS_00030863-protein
OG0000280	Stylophora_pistillata_Spis17241.t1 Spis17241.t1 SpisGene17241	Clytia_hemispherica_TCONS_00056421-protein TCONS_00056421-protein
OG0000285	Stylophora_pistillata_Spis13358 Spis13358 SpisGene13358	Clytia_hemispherica_TCONS_00002465-protein TCONS_00002465-protein
OG0000286	Stylophora_pistillata_Spis18883 Spis18883 SpisGene18883, Stylophora_pistillata_Spis21865 Spis21865 SpisGene21865	Clytia_hemispherica_TCONS_00061110-protein TCONS_00061110-protein
OG0000298	Stylophora_pistillata_Spis6868 Spis6868 SpisGene6868	Clytia_hemispherica_TCONS_00057296-protein TCONS_00057296-protein
OG0000299	Stylophora_pistillata_Spis9163 Spis9163 SpisGene9163	Clytia_hemispherica_TCONS_00058298-protein TCONS_00058298-protein
OG0000303	Stylophora_pistillata_Spis5413 Spis5413 SpisGene5413	Clytia_hemispherica_TCONS_00065051-protein TCONS_00065051-protein
OG0000314	Stylophora_pistillata_Spis16091 Spis16091 SpisGene16091	Clytia_hemispherica_TCONS_00070109-protein TCONS_00070109-protein
OG0000317	Stylophora_pistillata_Spis22512 Spis22512 SpisGene22512, Stylophora_pistillata_Spis23104 Spis23104 SpisGene23104	Clytia_hemispherica_TCONS_00011936-protein TCONS_00011936-protein
OG0000330	Stylophora_pistillata_Spis1858 Spis1858 SpisGene1858	Clytia_hemispherica_TCONS_00068879-protein TCONS_00068879-protein
OG0000349	Stylophora_pistillata_Spis4551 Spis4551 SpisGene4551	Clytia_hemispherica_TCONS_00070117-protein TCONS_00070117-protein
OG0000357	Stylophora_pistillata_Spis6626 Spis6626 SpisGene6626	Clytia_hemispherica_TCONS_00004643-protein TCONS_00004643-protein
OG0000375	Stylophora_pistillata_Spis15889 Spis15889 SpisGene15889	Clytia_hemispherica_TCONS_00013702-protein TCONS_00013702-protein
OG0000439	Stylophora_pistillata_Spis15893 Spis15893 SpisGene15893	Clytia_hemispherica_TCONS_00009709-protein TCONS_00009709-protein
OG0000440	Stylophora_pistillata_Spis18047 Spis18047 SpisGene18047	Clytia_hemispherica_TCONS_00052236-protein TCONS_00052236-protein
OG0000476	Stylophora_pistillata_Spis513 Spis513 SpisGene513	Clytia_hemispherica_TCONS_00053396-protein TCONS_00053396-protein
OG0000482	Stylophora_pistillata_Spis4951 Spis4951 SpisGene4951, Stylophora_pistillata_Spis4954 Spis4954 SpisGene4954	Clytia_hemispherica_TCONS_00072325-protein TCONS_00072325-protein
OG0000490	Stylophora_pistillata_Spis17235.t1 Spis17235.t1 SpisGene17235	Clytia_hemispherica_TCONS_00050256-protein TCONS_00050256-protein
OG0000534	Stylophora_pistillata_Spis6194 Spis6194 SpisGene6194	Clytia_hemispherica_TCONS_00062180-protein TCONS_00062180-protein
OG0000713	Stylophora_pistillata_Spis11482 Spis11482 SpisGene11482	Clytia_hemispherica_TCONS_00005356-protein TCONS_00005356-protein
OG0000719	Stylophora_pistillata_Spis803 Spis803 SpisGene803	Clytia_hemispherica_TCONS_00004031-protein TCONS_00004031-protein
OG0000721	Stylophora_pistillata_Spis16339 Spis16339 SpisGene16339	Clytia_hemispherica_TCONS_00013307-protein TCONS_00013307-protein
OG0000722	Stylophora_pistillata_Spis17182 Spis17182 SpisGene17182	Clytia_hemispherica_TCONS_00046392-protein TCONS_00046392-protein
OG0001173	Stylophora_pistillata_Spis18096 Spis18096 SpisGene18096	Clytia_hemispherica_TCONS_00028858-protein TCONS_00028858-protein
OG0001184	Stylophora_pistillata_Spis15271 Spis15271 SpisGene15271	Clytia_hemispherica_TCONS_00003342-protein TCONS_00003342-protein
OG0001185	Stylophora_pistillata_Spis15465 Spis15465 SpisGene15465	Clytia_hemispherica_TCONS_00034863-protein TCONS_00034863-protein
OG0001186	Stylophora_pistillata_Spis24725 Spis24725 SpisGene24725, Stylophora_pistillata_Spis20938 Spis20938 SpisGene20938, Stylophora_pistillata_Spis22579 Spis22579 SpisGene22579	Clytia_hemispherica_TCONS_00045405-protein TCONS_00045405-protein
