Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Chordata_Vertebrata_Mus_musculus
OG0000049	Calvadosia_cruxmelitensis_Ccrux.Trinity.36955 Ccrux.Trinity.36955, Calvadosia_cruxmelitensis_Ccrux.Trinity.36954 Ccrux.Trinity.36954	Mus_musculus_sp_P70206_PLXA1_MOUSE sp_P70206_PLXA1_MOUSE Plexin-A1 OS=Mus musculus OX=10090 GN=Plxna1 PE=1 SV=1, Mus_musculus_sp_P70208_PLXA3_MOUSE sp_P70208_PLXA3_MOUSE Plexin-A3 OS=Mus musculus OX=10090 GN=Plxna3 PE=1 SV=2, Mus_musculus_sp_P70207_PLXA2_MOUSE sp_P70207_PLXA2_MOUSE Plexin-A2 OS=Mus musculus OX=10090 GN=Plxna2 PE=1 SV=2, Mus_musculus_sp_Q80UG2_PLXA4_MOUSE sp_Q80UG2_PLXA4_MOUSE Plexin-A4 OS=Mus musculus OX=10090 GN=Plxna4 PE=1 SV=3, Mus_musculus_sp_Q8CJH3_PLXB1_MOUSE sp_Q8CJH3_PLXB1_MOUSE Plexin-B1 OS=Mus musculus OX=10090 GN=Plxnb1 PE=1 SV=2, Mus_musculus_sp_Q9QY40_PLXB3_MOUSE sp_Q9QY40_PLXB3_MOUSE Plexin-B3 OS=Mus musculus OX=10090 GN=Plxnb3 PE=1 SV=2, Mus_musculus_sp_B2RXS4_PLXB2_MOUSE sp_B2RXS4_PLXB2_MOUSE Plexin-B2 OS=Mus musculus OX=10090 GN=Plxnb2 PE=1 SV=1, Mus_musculus_sp_Q3UH93_PLXD1_MOUSE sp_Q3UH93_PLXD1_MOUSE Plexin-D1 OS=Mus musculus OX=10090 GN=Plxnd1 PE=1 SV=1, Mus_musculus_sp_Q9QZC2_PLXC1_MOUSE sp_Q9QZC2_PLXC1_MOUSE Plexin-C1 OS=Mus musculus OX=10090 GN=Plxnc1 PE=1 SV=1
OG0000054	Calvadosia_cruxmelitensis_Ccrux.Trinity.18828 Ccrux.Trinity.18828	Mus_musculus_sp_O54824_IL16_MOUSE sp_O54824_IL16_MOUSE Pro-interleukin-16 OS=Mus musculus OX=10090 GN=Il16 PE=1 SV=3
OG0000064	Calvadosia_cruxmelitensis_Ccrux.Trinity.19626 Ccrux.Trinity.19626	Mus_musculus_sp_Q8K4G1_LTBP4_MOUSE sp_Q8K4G1_LTBP4_MOUSE Latent-transforming growth factor beta-binding protein 4 OS=Mus musculus OX=10090 GN=Ltbp4 PE=1 SV=2, Mus_musculus_sp_Q8K4G1_LTBP4_MOUSE sp_Q8K4G1_LTBP4_MOUSE Latent-transforming growth factor beta-binding protein 4 OS=Mus musculus OX=10090 GN=Ltbp4 PE=1 SV=2, Mus_musculus_sp_O08999_LTBP2_MOUSE sp_O08999_LTBP2_MOUSE Latent-transforming growth factor beta-binding protein 2 OS=Mus musculus OX=10090 GN=Ltbp2 PE=1 SV=2, Mus_musculus_sp_Q61810_LTBP3_MOUSE sp_Q61810_LTBP3_MOUSE Latent-transforming growth factor beta-binding protein 3 OS=Mus musculus OX=10090 GN=Ltbp3 PE=1 SV=4, Mus_musculus_sp_Q8CG19_LTBP1_MOUSE sp_Q8CG19_LTBP1_MOUSE Latent-transforming growth factor beta-binding protein 1 OS=Mus musculus OX=10090 GN=Ltbp1 PE=1 SV=2, Mus_musculus_sp_Q8CG19_LTBP1_MOUSE sp_Q8CG19_LTBP1_MOUSE Latent-transforming growth factor beta-binding protein 1 OS=Mus musculus OX=10090 GN=Ltbp1 PE=1 SV=2
OG0000064	Calvadosia_cruxmelitensis_Ccrux.Trinity.62793 Ccrux.Trinity.62793	Mus_musculus_sp_Q61555_FBN2_MOUSE sp_Q61555_FBN2_MOUSE Fibrillin-2 OS=Mus musculus OX=10090 GN=Fbn2 PE=1 SV=2, Mus_musculus_sp_Q61554_FBN1_MOUSE sp_Q61554_FBN1_MOUSE Fibrillin-1 OS=Mus musculus OX=10090 GN=Fbn1 PE=1 SV=2
OG0000065	Calvadosia_cruxmelitensis_Ccrux.Trinity.465 Ccrux.Trinity.465	Mus_musculus_sp_Q8CFZ4_GPC3_MOUSE sp_Q8CFZ4_GPC3_MOUSE Glypican-3 OS=Mus musculus OX=10090 GN=Gpc3 PE=1 SV=1
OG0000070	Calvadosia_cruxmelitensis_Ccrux.Trinity.11503 Ccrux.Trinity.11503, Calvadosia_cruxmelitensis_Ccrux.Trinity.11506 Ccrux.Trinity.11506, Calvadosia_cruxmelitensis_Ccrux.Trinity.11509 Ccrux.Trinity.11509	Mus_musculus_sp_Q3UQ28_PXDN_MOUSE sp_Q3UQ28_PXDN_MOUSE Peroxidasin homolog OS=Mus musculus OX=10090 GN=Pxdn PE=1 SV=2
OG0000080	Calvadosia_cruxmelitensis_Ccrux.Trinity.5691 Ccrux.Trinity.5691, Calvadosia_cruxmelitensis_Ccrux.Trinity.70554 Ccrux.Trinity.70554	Mus_musculus_sp_P39876_TIMP3_MOUSE sp_P39876_TIMP3_MOUSE Metalloproteinase inhibitor 3 OS=Mus musculus OX=10090 GN=Timp3 PE=1 SV=1, Mus_musculus_sp_P25785_TIMP2_MOUSE sp_P25785_TIMP2_MOUSE Metalloproteinase inhibitor 2 OS=Mus musculus OX=10090 GN=Timp2 PE=1 SV=2, Mus_musculus_sp_P12032_TIMP1_MOUSE sp_P12032_TIMP1_MOUSE Metalloproteinase inhibitor 1 OS=Mus musculus OX=10090 GN=Timp1 PE=1 SV=2
OG0000081	Calvadosia_cruxmelitensis_Ccrux.Trinity.39810 Ccrux.Trinity.39810, Calvadosia_cruxmelitensis_Ccrux.Trinity.39813 Ccrux.Trinity.39813, Calvadosia_cruxmelitensis_Ccrux.Trinity.39808 Ccrux.Trinity.39808	Mus_musculus_sp_Q9CYA0_CREL2_MOUSE sp_Q9CYA0_CREL2_MOUSE Protein disulfide isomerase Creld2 OS=Mus musculus OX=10090 GN=Creld2 PE=1 SV=1, Mus_musculus_sp_Q91XD7_CREL1_MOUSE sp_Q91XD7_CREL1_MOUSE Protein disulfide isomerase Creld1 OS=Mus musculus OX=10090 GN=Creld1 PE=1 SV=1
OG0000083	Calvadosia_cruxmelitensis_Ccrux.Trinity.17144 Ccrux.Trinity.17144	Mus_musculus_sp_Q812F3_HYAL5_MOUSE sp_Q812F3_HYAL5_MOUSE Hyaluronidase-5 OS=Mus musculus OX=10090 GN=Hyal5 PE=1 SV=1, Mus_musculus_sp_Q05A56_HYAL4_MOUSE sp_Q05A56_HYAL4_MOUSE Hyaluronidase-4 OS=Mus musculus OX=10090 GN=Hyal4 PE=2 SV=1, Mus_musculus_sp_O35632_HYAL2_MOUSE sp_O35632_HYAL2_MOUSE Hyaluronidase-2 OS=Mus musculus OX=10090 GN=Hyal2 PE=1 SV=2
OG0000084	Calvadosia_cruxmelitensis_Ccrux.Trinity.35548 Ccrux.Trinity.35548, Calvadosia_cruxmelitensis_Ccrux.Trinity.35549 Ccrux.Trinity.35549, Calvadosia_cruxmelitensis_Ccrux.Trinity.35546 Ccrux.Trinity.35546	Mus_musculus_sp_O35206_COFA1_MOUSE sp_O35206_COFA1_MOUSE Collagen alpha-1_XV_ chain OS=Mus musculus OX=10090 GN=Col15a1 PE=1 SV=2, Mus_musculus_sp_P39061_COIA1_MOUSE sp_P39061_COIA1_MOUSE Collagen alpha-1_XVIII_ chain OS=Mus musculus OX=10090 GN=Col18a1 PE=1 SV=4, Mus_musculus_sp_P39061_COIA1_MOUSE sp_P39061_COIA1_MOUSE Collagen alpha-1_XVIII_ chain OS=Mus musculus OX=10090 GN=Col18a1 PE=1 SV=4
OG0000088	Calvadosia_cruxmelitensis_Ccrux.Trinity.51932 Ccrux.Trinity.51932	Mus_musculus_sp_Q8BMS2_SPON2_MOUSE sp_Q8BMS2_SPON2_MOUSE Spondin-2 OS=Mus musculus OX=10090 GN=Spon2 PE=2 SV=2, Mus_musculus_sp_Q8VCC9_SPON1_MOUSE sp_Q8VCC9_SPON1_MOUSE Spondin-1 OS=Mus musculus OX=10090 GN=Spon1 PE=1 SV=1
OG0000089	Calvadosia_cruxmelitensis_Ccrux.Trinity.31544 Ccrux.Trinity.31544, Calvadosia_cruxmelitensis_Ccrux.Trinity.31553 Ccrux.Trinity.31553, Calvadosia_cruxmelitensis_Ccrux.Trinity.31550 Ccrux.Trinity.31550, Calvadosia_cruxmelitensis_Ccrux.Trinity.31548 Ccrux.Trinity.31548, Calvadosia_cruxmelitensis_Ccrux.Trinity.31555 Ccrux.Trinity.31555	Mus_musculus_sp_Q920C1_CRDL1_MOUSE sp_Q920C1_CRDL1_MOUSE Chordin-like protein 1 OS=Mus musculus OX=10090 GN=Chrdl1 PE=1 SV=1, Mus_musculus_sp_Q8VEA6_CRDL2_MOUSE sp_Q8VEA6_CRDL2_MOUSE Chordin-like protein 2 OS=Mus musculus OX=10090 GN=Chrdl2 PE=1 SV=1
OG0000093	Calvadosia_cruxmelitensis_Ccrux.Trinity.53582 Ccrux.Trinity.53582	Mus_musculus_sp_P35174_CYT2_MOUSE sp_P35174_CYT2_MOUSE Stefin-2 OS=Mus musculus OX=10090 GN=Stfa2 PE=3 SV=2, Mus_musculus_sp_P35173_CYT3_MOUSE sp_P35173_CYT3_MOUSE Stefin-3 OS=Mus musculus OX=10090 GN=Stfa3 PE=3 SV=1, Mus_musculus_sp_P35175_CYT1_MOUSE sp_P35175_CYT1_MOUSE Stefin-1 OS=Mus musculus OX=10090 GN=Stfa1 PE=3 SV=1, Mus_musculus_sp_Q62426_CYTB_MOUSE sp_Q62426_CYTB_MOUSE Cystatin-B OS=Mus musculus OX=10090 GN=Cstb PE=1 SV=1
OG0000112	Calvadosia_cruxmelitensis_Ccrux.Trinity.11290 Ccrux.Trinity.11290	Mus_musculus_sp_B2RY83_HPSE2_MOUSE sp_B2RY83_HPSE2_MOUSE Inactive heparanase-2 OS=Mus musculus OX=10090 GN=Hpse2 PE=2 SV=1, Mus_musculus_sp_Q6YGZ1_HPSE_MOUSE sp_Q6YGZ1_HPSE_MOUSE Heparanase OS=Mus musculus OX=10090 GN=Hpse PE=1 SV=3
OG0000114	Calvadosia_cruxmelitensis_Ccrux.Trinity.12049 Ccrux.Trinity.12049, Calvadosia_cruxmelitensis_Ccrux.Trinity.12051 Ccrux.Trinity.12051	Mus_musculus_sp_Q61191_HCFC1_MOUSE sp_Q61191_HCFC1_MOUSE Host cell factor 1 OS=Mus musculus OX=10090 GN=Hcfc1 PE=1 SV=2
OG0000120	Calvadosia_cruxmelitensis_Ccrux.Trinity.62450 Ccrux.Trinity.62450	Mus_musculus_sp_O35988_SDC4_MOUSE sp_O35988_SDC4_MOUSE Syndecan-4 OS=Mus musculus OX=10090 GN=Sdc4 PE=1 SV=1, Mus_musculus_sp_P43407_SDC2_MOUSE sp_P43407_SDC2_MOUSE Syndecan-2 OS=Mus musculus OX=10090 GN=Sdc2 PE=1 SV=1, Mus_musculus_sp_P18828_SDC1_MOUSE sp_P18828_SDC1_MOUSE Syndecan-1 OS=Mus musculus OX=10090 GN=Sdc1 PE=1 SV=1, Mus_musculus_sp_Q64519_SDC3_MOUSE sp_Q64519_SDC3_MOUSE Syndecan-3 OS=Mus musculus OX=10090 GN=Sdc3 PE=1 SV=2
OG0000122	Calvadosia_cruxmelitensis_Ccrux.Trinity.2403 Ccrux.Trinity.2403	Mus_musculus_sp_P33434_MMP2_MOUSE sp_P33434_MMP2_MOUSE 72 kDa type IV collagenase OS=Mus musculus OX=10090 GN=Mmp2 PE=1 SV=1, Mus_musculus_sp_P41245_MMP9_MOUSE sp_P41245_MMP9_MOUSE Matrix metalloproteinase-9 OS=Mus musculus OX=10090 GN=Mmp9 PE=1 SV=2
OG0000141	Calvadosia_cruxmelitensis_Ccrux.Trinity.59381 Ccrux.Trinity.59381, Calvadosia_cruxmelitensis_Ccrux.Trinity.56706 Ccrux.Trinity.56706	Mus_musculus_sp_Q9Z0G4_CCN5_MOUSE sp_Q9Z0G4_CCN5_MOUSE CCN family member 5 OS=Mus musculus OX=10090 GN=Ccn5 PE=2 SV=1, Mus_musculus_sp_O54775_CCN4_MOUSE sp_O54775_CCN4_MOUSE CCN family member 4 OS=Mus musculus OX=10090 GN=Ccn4 PE=2 SV=1, Mus_musculus_sp_P29268_CCN2_MOUSE sp_P29268_CCN2_MOUSE CCN family member 2 OS=Mus musculus OX=10090 GN=Ccn2 PE=1 SV=3, Mus_musculus_sp_P18406_CCN1_MOUSE sp_P18406_CCN1_MOUSE CCN family member 1 OS=Mus musculus OX=10090 GN=Ccn1 PE=1 SV=1
OG0000150	Calvadosia_cruxmelitensis_Ccrux.Trinity.70441 Ccrux.Trinity.70441	Mus_musculus_sp_Q8R4K8_PAPP1_MOUSE sp_Q8R4K8_PAPP1_MOUSE Pappalysin-1 OS=Mus musculus OX=10090 GN=Pappa PE=2 SV=2
OG0000154	Calvadosia_cruxmelitensis_Ccrux.Trinity.71132 Ccrux.Trinity.71132	Mus_musculus_sp_Q66K08_CILP1_MOUSE sp_Q66K08_CILP1_MOUSE Cartilage intermediate layer protein 1 OS=Mus musculus OX=10090 GN=Cilp PE=1 SV=1, Mus_musculus_sp_D3Z7H8_CILP2_MOUSE sp_D3Z7H8_CILP2_MOUSE Cartilage intermediate layer protein 2 OS=Mus musculus OX=10090 GN=Cilp2 PE=1 SV=1
OG0000156	Calvadosia_cruxmelitensis_Ccrux.Trinity.38048 Ccrux.Trinity.38048, Calvadosia_cruxmelitensis_Ccrux.Trinity.38045 Ccrux.Trinity.38045, Calvadosia_cruxmelitensis_Ccrux.Trinity.38037 Ccrux.Trinity.38037, Calvadosia_cruxmelitensis_Ccrux.Trinity.38043 Ccrux.Trinity.38043	Mus_musculus_sp_C0HKD9_MFA1B_MOUSE sp_C0HKD9_MFA1B_MOUSE Microfibrillar-associated protein 1B OS=Mus musculus OX=10090 GN=Mfap1b PE=1 SV=1
OG0000157	Calvadosia_cruxmelitensis_Ccrux.Trinity.52207 Ccrux.Trinity.52207	Mus_musculus_sp_Q80T14_FRAS1_MOUSE sp_Q80T14_FRAS1_MOUSE Extracellular matrix organizing protein FRAS1 OS=Mus musculus OX=10090 GN=Fras1 PE=1 SV=2, Mus_musculus_sp_Q684R7_FREM1_MOUSE sp_Q684R7_FREM1_MOUSE FRAS1-related extracellular matrix protein 1 OS=Mus musculus OX=10090 GN=Frem1 PE=1 SV=1, Mus_musculus_sp_Q684R7_FREM1_MOUSE sp_Q684R7_FREM1_MOUSE FRAS1-related extracellular matrix protein 1 OS=Mus musculus OX=10090 GN=Frem1 PE=1 SV=1
OG0000158	Calvadosia_cruxmelitensis_Ccrux.Trinity.60636 Ccrux.Trinity.60636, Calvadosia_cruxmelitensis_Ccrux.Trinity.68887 Ccrux.Trinity.68887	Mus_musculus_sp_Q3UPR9_SBSPO_MOUSE sp_Q3UPR9_SBSPO_MOUSE Somatomedin-B and thrombospondin type-1 domain-containing protein OS=Mus musculus OX=10090 GN=Sbspon PE=2 SV=1
OG0000160	Calvadosia_cruxmelitensis_Ccrux.Trinity.68883 Ccrux.Trinity.68883	Mus_musculus_sp_Q3UW26_BSPH1_MOUSE sp_Q3UW26_BSPH1_MOUSE Binder of sperm protein homolog 1 OS=Mus musculus OX=10090 GN=Bsph1 PE=2 SV=1
OG0000182	Calvadosia_cruxmelitensis_Ccrux.Trinity.25498 Ccrux.Trinity.25498, Calvadosia_cruxmelitensis_Ccrux.Trinity.24872 Ccrux.Trinity.24872	Mus_musculus_sp_Q3UVV9_VWA3A_MOUSE sp_Q3UVV9_VWA3A_MOUSE von Willebrand factor A domain-containing protein 3A OS=Mus musculus OX=10090 GN=Vwa3a PE=2 SV=1
OG0000235	Calvadosia_cruxmelitensis_Ccrux.Trinity.13886 Ccrux.Trinity.13886, Calvadosia_cruxmelitensis_Ccrux.Trinity.13884 Ccrux.Trinity.13884	Mus_musculus_sp_Q91VF6_COQA1_MOUSE sp_Q91VF6_COQA1_MOUSE Collagen alpha-1_XXVI_ chain OS=Mus musculus OX=10090 GN=Col26a1 PE=1 SV=1, Mus_musculus_sp_Q91VF5_EMID1_MOUSE sp_Q91VF5_EMID1_MOUSE EMI domain-containing protein 1 OS=Mus musculus OX=10090 GN=Emid1 PE=2 SV=1, Mus_musculus_sp_Q91VF5_EMID1_MOUSE sp_Q91VF5_EMID1_MOUSE EMI domain-containing protein 1 OS=Mus musculus OX=10090 GN=Emid1 PE=2 SV=1
OG0000236	Calvadosia_cruxmelitensis_Ccrux.Trinity.2453 Ccrux.Trinity.2453	Mus_musculus_sp_P31240_PDGFB_MOUSE sp_P31240_PDGFB_MOUSE Platelet-derived growth factor subunit B OS=Mus musculus OX=10090 GN=Pdgfb PE=2 SV=1
OG0000281	Calvadosia_cruxmelitensis_Ccrux.Trinity.38263 Ccrux.Trinity.38263	Mus_musculus_sp_Q0VF58_COJA1_MOUSE sp_Q0VF58_COJA1_MOUSE Collagen alpha-1_XIX_ chain OS=Mus musculus OX=10090 GN=Col19a1 PE=2 SV=2, Mus_musculus_sp_Q05722_CO9A1_MOUSE sp_Q05722_CO9A1_MOUSE Collagen alpha-1_IX_ chain OS=Mus musculus OX=10090 GN=Col9a1 PE=2 SV=2
OG0000344	Calvadosia_cruxmelitensis_Ccrux.Trinity.28926 Ccrux.Trinity.28926	Mus_musculus_sp_Q62356_FSTL1_MOUSE sp_Q62356_FSTL1_MOUSE Follistatin-related protein 1 OS=Mus musculus OX=10090 GN=Fstl1 PE=1 SV=2
OG0000350	Calvadosia_cruxmelitensis_Ccrux.Trinity.23365 Ccrux.Trinity.23365, Calvadosia_cruxmelitensis_Ccrux.Trinity.23363 Ccrux.Trinity.23363, Calvadosia_cruxmelitensis_Ccrux.Trinity.23360 Ccrux.Trinity.23360	Mus_musculus_sp_J3S6Y1_TSEAR_MOUSE sp_J3S6Y1_TSEAR_MOUSE Thrombospondin-type laminin G domain and EAR repeat-containing protein OS=Mus musculus OX=10090 GN=Tspear PE=1 SV=1
OG0000463	Calvadosia_cruxmelitensis_Ccrux.Trinity.26478 Ccrux.Trinity.26478	Mus_musculus_sp_Q9WUA1_WIF1_MOUSE sp_Q9WUA1_WIF1_MOUSE Wnt inhibitory factor 1 OS=Mus musculus OX=10090 GN=Wif1 PE=2 SV=1
