Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000285	Acropora_digitifera_adi_v1.05812 adi_v1.05812	Morbakka_virulenta_scaffold89.g26.t1 scaffold89.g26.t1
OG0000286	Acropora_digitifera_adi_v1.11445 adi_v1.11445	Morbakka_virulenta_scaffold101.g33.t1 scaffold101.g33.t1
OG0000301	Acropora_digitifera_adi_v1.03319 adi_v1.03319	Morbakka_virulenta_scaffold197.g27.t1 scaffold197.g27.t1
OG0000302	Acropora_digitifera_adi_v1.22539 adi_v1.22539, Acropora_digitifera_adi_v1.12127 adi_v1.12127	Morbakka_virulenta_scaffold27.g45.t1 scaffold27.g45.t1
OG0000303	Acropora_digitifera_adi_v1.12162 adi_v1.12162	Morbakka_virulenta_scaffold41.g17.t1 scaffold41.g17.t1
OG0000322	Acropora_digitifera_adi_v1.15530 adi_v1.15530	Morbakka_virulenta_scaffold28.g59.t1 scaffold28.g59.t1
OG0000330	Acropora_digitifera_adi_v1.12128 adi_v1.12128	Morbakka_virulenta_scaffold70.g14.t2 scaffold70.g14.t2, Morbakka_virulenta_scaffold70.g14.t3 scaffold70.g14.t3
OG0000331	Acropora_digitifera_adi_v1.23613 adi_v1.23613	Morbakka_virulenta_scaffold47.g171.t5 scaffold47.g171.t5, Morbakka_virulenta_scaffold47.g171.t3 scaffold47.g171.t3, Morbakka_virulenta_scaffold47.g171.t1 scaffold47.g171.t1, Morbakka_virulenta_scaffold47.g171.t4 scaffold47.g171.t4, Morbakka_virulenta_scaffold47.g171.t2 scaffold47.g171.t2
OG0000398	Acropora_digitifera_adi_v1.12872 adi_v1.12872, Acropora_digitifera_adi_v1.00722 adi_v1.00722	Morbakka_virulenta_scaffold26.g83.t1 scaffold26.g83.t1
OG0000399	Acropora_digitifera_adi_v1.23383 adi_v1.23383	Morbakka_virulenta_scaffold241.g22.t1 scaffold241.g22.t1
OG0000418	Acropora_digitifera_adi_v1.12068 adi_v1.12068	Morbakka_virulenta_scaffold599.g4.t1 scaffold599.g4.t1
OG0000434	Acropora_digitifera_adi_v1.00931 adi_v1.00931	Morbakka_virulenta_scaffold325.g17.t1 scaffold325.g17.t1, Morbakka_virulenta_scaffold325.g17.t2 scaffold325.g17.t2
OG0000448	Acropora_digitifera_adi_v1.10680 adi_v1.10680	Morbakka_virulenta_scaffold267.g32.t1 scaffold267.g32.t1
OG0000466	Acropora_digitifera_adi_v1.11284 adi_v1.11284	Morbakka_virulenta_scaffold832.g1.t1 scaffold832.g1.t1
OG0000523	Acropora_digitifera_adi_v1.14559 adi_v1.14559, Acropora_digitifera_adi_v1.14557 adi_v1.14557	Morbakka_virulenta_scaffold198.g33.t1 scaffold198.g33.t1
OG0000533	Acropora_digitifera_adi_v1.16707 adi_v1.16707	Morbakka_virulenta_scaffold23.g86.t2 scaffold23.g86.t2, Morbakka_virulenta_scaffold23.g86.t1 scaffold23.g86.t1
OG0000594	Acropora_digitifera_adi_v1.01772 adi_v1.01772, Acropora_digitifera_adi_v1.01771 adi_v1.01771, Acropora_digitifera_adi_v1.01775 adi_v1.01775	Morbakka_virulenta_scaffold476.g8.t1 scaffold476.g8.t1
OG0000595	Acropora_digitifera_adi_v1.04217 adi_v1.04217	Morbakka_virulenta_scaffold5.g57.t1 scaffold5.g57.t1
OG0000596	Acropora_digitifera_adi_v1.08986 adi_v1.08986	Morbakka_virulenta_scaffold70.g52.t1 scaffold70.g52.t1, Morbakka_virulenta_scaffold112.g15.t1 scaffold112.g15.t1
OG0000674	Acropora_digitifera_adi_v1.10489 adi_v1.10489	Morbakka_virulenta_scaffold116.g21.t1 scaffold116.g21.t1
OG0001137	Acropora_digitifera_adi_v1.01872 adi_v1.01872	Morbakka_virulenta_scaffold59.g5.t1 scaffold59.g5.t1, Morbakka_virulenta_scaffold59.g5.t2 scaffold59.g5.t2
OG0001142	Acropora_digitifera_adi_v1.07721 adi_v1.07721	Morbakka_virulenta_scaffold341.g2.t1 scaffold341.g2.t1
OG0001143	Acropora_digitifera_adi_v1.18511 adi_v1.18511, Acropora_digitifera_adi_v1.11996 adi_v1.11996	Morbakka_virulenta_scaffold325.g8.t1 scaffold325.g8.t1
